akr_id,akr_name,akr_code,obs_id,obs_name,obs_code
984,Shad,180,99,AMERICAN SHAD,606
1641,"Skate, Big",702,100,BIG SKATE,94
23,Thornyhead Rockfish (Idiots),143,101,THORNYHEAD ROCKFISH UNIDENTIFIED,349
87,Bairdi Tanner Crab,931,104,BAIRDI TANNER CRAB,4
1513,Miscellaneous Flatfish,120,113,HYBRID SOLE,116
66,Coho Salmon,430,129,COHO SALMON,223
84,Blue King Crab,922,131,CRAB UNIDENTIFIED,1
84,Blue King Crab,922,136,LITHODID CRAB UNIDENTIFIED,14
81,Squid,875,144,PACIFIC BOBTAIL SQUID,28
73,"Shark, Other",689,163,SALMON SHARK,67
1047,"Flatfish, unidentified",100,171,FLATFISH  UNIDENTIFIED,100
7,Dover Sole,124,175,DOVER SOLE,107
9,Butter Sole,126,177,BUTTER SOLE,109
989,Pacific sandfish (family Trichodontidae),206,201,SANDFISHES,239
1517,Eels or eel-like fish  ,210,208,BLACK EELPOUT,254
1517,Eels or eel-like fish  ,210,209,SHORTFIN EELPOUT,259
218,Unidentified Rockfish,139,212,ROCKFISH  UNIDENTIFIED,300
22,Black Rockfish,142,217,BLACK ROCKFISH,306
46,Yellowmouth Rockfish,175,229,YELLOWMOUTH ROCKFISH,320
32,Shortraker Rockfish,152,234,SHORTRAKER ROCKFISH,326
28,Tiger Rockfish,148,236,TIGER ROCKFISH,329
55,Aurora Rockfish,185,239,AURORA ROCKFISH,334
1531,Other Small Sculpins,160,258,SCISSORTAIL SCULPIN,425
1521,"Poacher, general",219,261,BIGEYE POACHER,457
1003,Lingcod,130,275,LINGCOD,603
995,Pacific saury,220,278,PACIFIC SAURY,607
78,Pacific Sand Lance (family Ammodytidae),774,286,SAND LANCES,670
1022,Snails,890,315,RUSTY MOONSNAIL,975
59,"Pricklebacks, etc.  (family Stichaeidae)",208,356,PEARLY PRICKLEBACK,754
1517,Eels or eel-like fish  ,210,361,FROSTFISH,650
1550,"Smelt, Surf",515,362,SURF SMELT,613
1521,"Poacher, general",219,371,SAWBACK POACHER,453
1521,"Poacher, general",219,375,SPINYCHEEK STARSNOUT,461
1521,"Poacher, general",219,376,BERING POACHER,463
29,China Rockfish,149,393,CHINA ROCKFISH,346
1517,Eels or eel-like fish  ,210,397,KAMCHATKA EELPOUT,262
19,Bocaccio Rockfish,137,423,BOCACCIO ROCKFISH,302
76,Lanternfishes (family Myctophidae),772,442,CALIFORNIA HEADLIGHTFISH,701
1531,Other Small Sculpins,160,445,ANTLERED SCULPIN,472
1621,"Skate, Other",700,462,OKHOTSK SKATE,161
1531,Other Small Sculpins,160,476,BLOB SCULPIN,422
6,Rock Sole,123,511,SOUTHERN ROCK SOLE,121
73,"Shark, Other",689,517,THRESHER SHARK,63
1033,"Shrimp, humpy",963,518,SHRIMP UNIDENTIFIED,70
1552,Ratfish,714,521,SPOTTED RATFISH,99
1538,Other Large Sculpins,286,530,SCULPIN UNIDENTIFIED,400
1531,Other Small Sculpins,160,533,PACIFIC STAGHORN SCULPIN,424
1521,"Poacher, general",219,534,DRAGON POACHER,459
994,Giant grenadier,214,564,GRENADIER UNIDENTIFIED,80
1507,Kamchatka Flounder,117,1169,TURBOT/KAM/ARROW - UNIDENTIFIED,143
1011,"Clam, geoduck",815,1224,MUSSELS OYSTERS SCALLOPS CLAMS,29
1022,Snails,890,1228,SNAIL EGGS UNIDENTIFIED,34
1022,Snails,890,1229,SNAIL SHELL UNIDENTIFIED,36
1519,"Snailfish, general",218,1253,LIPARIS MEGACEPHALUS,502
1526,Dark Rockfish,173,1528,DARK ROCKFISH,345
1621,"Skate, Other",700,1637,MUD SKATE,165
1513,Miscellaneous Flatfish,120,1639,CALIFORNIA HALIBUT,122
81,Squid,875,96,HUMBOLDT SQUID,511
88,"Crab, Opilio Tanner (Snow)",932,97,TANNER CRAB UNIDENTIFIED,3
